model,genre,dialect,score,prob,dialectness,macro_score
gpt-4o,TWEET,pse,4.5%,34.3%,9.9%,7.2%
gpt-4o,TWEET,sdn,7.9%,41.5%,11.4%,8.6%
llama,BTEC,dza,17.2%,29.1%,51.9%,39.5%
llama,BTEC,egy,49.2%,66.0%,57.3%,49.4%
llama,BTEC,sau,2.1%,7.2%,14.6%,9.3%
llama,BTEC,syr,9.6%,14.3%,41.6%,22.9%
llama,BTEC,mar,42.3%,62.6%,54.7%,44.6%
llama,BTEC,pse,4.5%,10.1%,28.4%,17.4%
llama,BTEC,sdn,15.2%,27.6%,35.5%,28.2%
llama,FLORES,egy,35.9%,59.4%,45.2%,37.9%
llama,FLORES,sau,0.3%,3.5%,3.7%,1.3%
llama,FLORES,syr,6.5%,15.1%,23.1%,15.3%
llama,FLORES,mar,35.8%,60.7%,40.1%,37.0%
llama,FLORES,pse,1.4%,7.5%,15.4%,8.5%
llama,HABIBI,dza,12.5%,17.5%,52.8%,33.7%
llama,HABIBI,egy,47.3%,61.7%,57.9%,47.8%
llama,HABIBI,sau,1.9%,4.8%,18.8%,7.4%
llama,HABIBI,syr,5.4%,8.3%,41.0%,14.2%
llama,HABIBI,kwt,1.2%,1.8%,19.3%,9.5%
llama,HABIBI,mar,26.7%,44.7%,55.1%,33.1%
llama,HABIBI,pse,1.8%,3.4%,34.3%,4.4%
llama,HABIBI,sdn,6.9%,13.1%,40.2%,24.7%
llama,TWEET,dza,27.1%,36.7%,57.2%,48.4%
llama,TWEET,egy,51.8%,63.2%,61.4%,52.4%
llama,TWEET,sau,12.0%,26.5%,31.8%,20.4%
llama,TWEET,syr,10.2%,23.2%,38.0%,20.4%
llama,TWEET,kwt,4.6%,8.4%,25.0%,15.4%
llama,TWEET,mar,40.2%,59.6%,59.0%,42.4%
llama,TWEET,pse,14.7%,30.7%,35.1%,22.0%
llama,TWEET,sdn,19.8%,32.1%,40.3%,32.6%
silma,BTEC,dza,2.6%,4.2%,13.7%,9.6%
silma,BTEC,egy,4.0%,6.6%,5.7%,4.0%
silma,BTEC,sau,1.7%,6.7%,4.6%,3.3%
silma,BTEC,syr,0.9%,1.7%,6.8%,2.5%
silma,BTEC,mar,4.4%,7.1%,6.2%,5.2%
silma,BTEC,pse,3.4%,6.4%,11.7%,6.7%
silma,BTEC,sdn,1.7%,7.3%,6.7%,3.0%
silma,FLORES,egy,0.8%,2.6%,1.7%,0.8%
silma,FLORES,sau,0.1%,2.6%,0.3%,0.3%
silma,FLORES,syr,0.0%,0.7%,0.7%,0.0%
silma,FLORES,mar,4.5%,9.7%,5.4%,4.9%
silma,FLORES,pse,0.7%,2.4%,3.0%,1.5%
silma,HABIBI,dza,2.6%,5.9%,15.1%,12.3%
silma,HABIBI,egy,2.5%,4.8%,4.2%,2.5%
silma,HABIBI,sau,0.6%,3.6%,6.8%,4.1%
silma,HABIBI,syr,1.5%,2.0%,7.7%,3.5%
silma,HABIBI,kwt,0.1%,0.3%,11.7%,4.3%
silma,HABIBI,mar,9.1%,20.4%,13.4%,10.2%
silma,HABIBI,pse,1.3%,3.1%,20.1%,4.9%
silma,HABIBI,sdn,0.3%,1.1%,17.0%,7.2%
silma,TWEET,dza,1.6%,3.2%,8.7%,6.5%
silma,TWEET,egy,1.3%,2.8%,2.0%,1.3%
silma,TWEET,sau,0.2%,2.0%,0.5%,0.3%
silma,TWEET,syr,0.0%,0.1%,0.9%,0.0%
silma,TWEET,kwt,2.1%,2.9%,5.8%,4.3%
silma,TWEET,mar,4.1%,6.1%,4.8%,4.5%
silma,TWEET,pse,0.5%,2.3%,2.5%,0.8%
silma,TWEET,sdn,0.6%,2.2%,3.0%,1.4%
acegpt,BTEC,dza,9.1%,24.3%,23.0%,15.0%
acegpt,BTEC,egy,15.9%,26.2%,27.3%,18.5%
acegpt,BTEC,sau,1.1%,6.7%,6.1%,4.8%
acegpt,BTEC,syr,5.1%,15.2%,16.6%,11.0%
acegpt,BTEC,mar,11.4%,31.0%,17.9%,12.9%
acegpt,BTEC,pse,1.3%,4.9%,14.8%,8.7%
acegpt,BTEC,sdn,6.9%,20.0%,14.5%,7.7%
acegpt,FLORES,egy,9.3%,19.5%,13.6%,10.2%
acegpt,FLORES,sau,0.1%,4.6%,2.3%,1.1%
acegpt,FLORES,syr,0.7%,4.7%,5.0%,2.2%
acegpt,FLORES,mar,7.2%,23.6%,11.3%,8.9%
acegpt,FLORES,pse,0.2%,3.0%,4.3%,2.2%
acegpt,HABIBI,dza,9.8%,25.7%,21.3%,15.4%
acegpt,HABIBI,egy,14.4%,25.3%,23.7%,14.8%
acegpt,HABIBI,sau,0.6%,4.3%,7.0%,4.1%
acegpt,HABIBI,syr,3.1%,9.9%,17.5%,9.5%
acegpt,HABIBI,kwt,0.2%,0.9%,12.6%,6.9%
acegpt,HABIBI,mar,6.8%,29.0%,20.1%,10.8%
acegpt,HABIBI,pse,1.6%,3.6%,19.1%,5.3%
acegpt,HABIBI,sdn,3.5%,7.8%,18.2%,6.6%
acegpt,TWEET,dza,15.9%,34.0%,32.6%,23.4%
acegpt,TWEET,egy,15.5%,27.8%,23.4%,16.6%
acegpt,TWEET,sau,5.0%,15.0%,12.5%,8.8%
acegpt,TWEET,syr,5.0%,17.8%,11.0%,7.9%
acegpt,TWEET,kwt,1.3%,4.2%,11.5%,6.5%
acegpt,TWEET,mar,14.0%,37.8%,22.9%,16.7%
acegpt,TWEET,pse,5.7%,15.7%,16.9%,9.6%
acegpt,TWEET,sdn,11.4%,28.1%,19.8%,14.0%
command_r_base,BTEC,dza,3.0%,10.9%,25.2%,24.2%
command_r_base,BTEC,egy,32.5%,54.9%,36.6%,32.7%
command_r_base,BTEC,sau,7.6%,23.6%,16.9%,11.5%
command_r_base,BTEC,syr,11.1%,22.8%,36.1%,27.6%
command_r_base,BTEC,mar,27.9%,79.8%,28.8%,28.5%
command_r_base,BTEC,pse,2.9%,9.1%,17.8%,11.7%
command_r_base,BTEC,sdn,4.1%,17.0%,18.8%,13.6%
command_r_base,FLORES,egy,33.7%,58.0%,39.6%,34.4%
command_r_base,FLORES,sau,1.5%,13.1%,6.2%,2.8%
command_r_base,FLORES,syr,6.2%,13.8%,26.5%,20.7%
command_r_base,FLORES,mar,27.9%,71.2%,29.6%,28.3%
command_r_base,FLORES,pse,1.4%,6.2%,12.3%,8.4%
command_r_base,HABIBI,dza,4.1%,13.0%,30.0%,28.3%
command_r_base,HABIBI,egy,21.1%,43.7%,28.8%,21.7%
command_r_base,HABIBI,sau,5.3%,20.9%,18.2%,10.5%
command_r_base,HABIBI,syr,7.1%,16.5%,25.3%,16.0%
command_r_base,HABIBI,kwt,0.2%,0.7%,16.7%,8.0%
command_r_base,HABIBI,mar,26.0%,72.6%,30.7%,28.4%
command_r_base,HABIBI,pse,1.6%,4.5%,16.3%,6.3%
command_r_base,HABIBI,sdn,2.7%,8.4%,17.3%,11.4%
command_r_base,TWEET,dza,9.7%,22.5%,22.0%,21.3%
command_r_base,TWEET,egy,42.0%,64.1%,47.8%,42.4%
command_r_base,TWEET,sau,13.4%,35.4%,23.3%,17.3%
command_r_base,TWEET,syr,17.5%,38.9%,31.2%,25.6%
command_r_base,TWEET,kwt,1.1%,3.2%,19.1%,12.5%
command_r_base,TWEET,mar,29.6%,81.6%,30.2%,29.8%
command_r_base,TWEET,pse,6.5%,21.3%,21.9%,14.9%
command_r_base,TWEET,sdn,18.6%,39.5%,31.2%,22.0%
command_r+_base,BTEC,dza,12.0%,23.4%,37.7%,35.7%
command_r+_base,BTEC,egy,47.6%,63.5%,56.5%,48.9%
command_r+_base,BTEC,sau,14.7%,29.3%,31.5%,23.3%
command_r+_base,BTEC,syr,15.7%,24.1%,42.9%,32.2%
command_r+_base,BTEC,mar,36.5%,78.1%,38.6%,37.0%
command_r+_base,BTEC,pse,8.1%,16.2%,34.3%,26.9%
command_r+_base,BTEC,sdn,17.3%,32.9%,36.8%,28.9%
command_r+_base,FLORES,egy,24.5%,42.4%,30.9%,25.8%
command_r+_base,FLORES,sau,1.9%,14.3%,7.2%,4.2%
command_r+_base,FLORES,syr,9.3%,20.0%,31.8%,26.0%
command_r+_base,FLORES,mar,27.5%,61.3%,31.3%,30.2%
command_r+_base,FLORES,pse,2.2%,5.9%,23.3%,17.7%
command_r+_base,HABIBI,dza,7.3%,13.9%,39.7%,38.1%
command_r+_base,HABIBI,egy,36.6%,53.8%,46.8%,37.1%
command_r+_base,HABIBI,sau,10.3%,28.5%,27.6%,17.4%
command_r+_base,HABIBI,syr,13.4%,21.8%,47.3%,27.6%
command_r+_base,HABIBI,kwt,1.9%,4.2%,31.8%,19.2%
command_r+_base,HABIBI,mar,33.3%,76.1%,37.4%,36.7%
command_r+_base,HABIBI,pse,4.0%,8.2%,30.9%,14.8%
command_r+_base,HABIBI,sdn,9.6%,28.5%,28.9%,21.9%
command_r+_base,TWEET,dza,23.3%,34.4%,38.6%,36.7%
command_r+_base,TWEET,egy,45.6%,60.3%,53.0%,46.9%
command_r+_base,TWEET,sau,29.1%,54.2%,37.6%,33.9%
command_r+_base,TWEET,syr,36.8%,52.7%,56.8%,51.2%
command_r+_base,TWEET,kwt,7.9%,12.9%,31.9%,25.0%
command_r+_base,TWEET,mar,32.1%,79.9%,34.6%,33.6%
command_r+_base,TWEET,pse,17.1%,30.5%,41.4%,33.9%
command_r+_base,TWEET,sdn,33.9%,60.4%,43.3%,36.4%
llama-base,BTEC,dza,15.9%,21.2%,54.7%,49.3%
llama-base,BTEC,egy,40.7%,53.5%,49.3%,41.9%
llama-base,BTEC,sau,4.8%,9.3%,21.7%,13.4%
llama-base,BTEC,syr,14.2%,19.1%,43.7%,27.8%
llama-base,BTEC,mar,44.2%,55.7%,55.9%,47.8%
llama-base,BTEC,pse,5.0%,8.5%,38.7%,24.4%
llama-base,BTEC,sdn,9.4%,17.1%,24.3%,16.7%
llama-base,FLORES,egy,24.9%,38.5%,28.6%,25.7%
llama-base,FLORES,sau,0.2%,5.0%,4.9%,1.4%
llama-base,FLORES,syr,3.9%,8.8%,23.7%,10.9%
llama-base,FLORES,mar,36.4%,57.9%,41.3%,38.0%
llama-base,FLORES,pse,0.9%,4.0%,10.1%,6.2%
llama-base,HABIBI,dza,14.5%,20.1%,53.8%,44.1%
llama-base,HABIBI,egy,27.9%,35.1%,40.9%,29.3%
llama-base,HABIBI,sau,3.9%,8.2%,24.3%,11.7%
llama-base,HABIBI,syr,6.0%,9.1%,43.8%,16.1%
llama-base,HABIBI,kwt,1.1%,1.8%,15.0%,7.5%
llama-base,HABIBI,mar,28.9%,45.3%,44.9%,33.3%
llama-base,HABIBI,pse,2.3%,3.9%,31.7%,10.5%
llama-base,HABIBI,sdn,3.9%,8.4%,26.6%,14.6%
llama-base,TWEET,dza,21.7%,26.4%,47.9%,41.1%
llama-base,TWEET,egy,37.4%,48.3%,48.6%,37.6%
llama-base,TWEET,sau,12.6%,22.5%,21.6%,17.7%
llama-base,TWEET,syr,16.5%,25.3%,40.6%,27.2%
llama-base,TWEET,kwt,5.2%,9.2%,22.9%,15.5%
llama-base,TWEET,mar,39.8%,55.6%,50.2%,44.5%
llama-base,TWEET,pse,14.8%,23.5%,35.9%,25.6%
llama-base,TWEET,sdn,19.7%,31.4%,31.5%,23.7%
