model,genre,dialect,SpBLEU_corpus_score,ChrF_corpus_score
llama,Madar26,dza_to_msa,0.7%,8.1%
llama,Madar26,egy_to_msa,0.9%,8.7%
llama,Madar26,sau_to_msa,1.2%,9.5%
llama,Madar26,syr_to_msa,0.9%,7.9%
llama,Madar26,mar_to_msa,1.0%,8.4%
llama,Madar26,pse_to_msa,1.0%,7.9%
llama,Madar26,sdn_to_msa,0.8%,8.3%
llama,Madar26,msa_to_dza,0.7%,8.4%
llama,Madar26,msa_to_egy,0.8%,7.7%
llama,Madar26,msa_to_sau,1.2%,9.7%
llama,Madar26,msa_to_syr,0.8%,7.5%
llama,Madar26,msa_to_mar,0.9%,8.5%
llama,Madar26,msa_to_pse,0.8%,7.6%
llama,Madar26,msa_to_sdn,1.0%,8.8%
llama,Flores200,egy_to_eng,7.0%,37.0%
llama,Flores200,sau_to_eng,8.4%,39.6%
llama,Flores200,syr_to_eng,7.7%,38.2%
llama,Flores200,mar_to_eng,5.6%,34.5%
llama,Flores200,pse_to_eng,8.1%,39.1%
llama,Flores200,eng_to_egy,5.0%,23.5%
llama,Flores200,eng_to_sau,6.8%,25.9%
llama,Flores200,eng_to_syr,4.5%,22.4%
llama,Flores200,eng_to_mar,2.3%,15.8%
llama,Flores200,eng_to_pse,5.4%,24.5%
llama,Flores200,egy_to_msa,12.5%,35.1%
llama,Flores200,sau_to_msa,26.5%,55.4%
llama,Flores200,syr_to_msa,9.9%,31.3%
llama,Flores200,mar_to_msa,9.0%,29.2%
llama,Flores200,pse_to_msa,10.3%,32.0%
llama,Flores200,msa_to_egy,10.3%,32.5%
llama,Flores200,msa_to_sau,23.9%,52.3%
llama,Flores200,msa_to_syr,8.7%,31.6%
llama,Flores200,msa_to_mar,5.9%,24.7%
llama,Flores200,msa_to_pse,9.7%,33.9%
silma,Madar26,dza_to_eng,27.5%,47.4%
silma,Madar26,egy_to_eng,34.2%,53.4%
silma,Madar26,sau_to_eng,43.4%,61.1%
silma,Madar26,syr_to_eng,33.9%,51.4%
silma,Madar26,mar_to_eng,36.0%,53.9%
silma,Madar26,pse_to_eng,35.1%,53.5%
silma,Madar26,sdn_to_eng,43.5%,60.2%
silma,Madar26,eng_to_dza,8.8%,24.8%
silma,Madar26,eng_to_egy,11.0%,28.7%
silma,Madar26,eng_to_sau,16.1%,35.0%
silma,Madar26,eng_to_syr,11.5%,29.8%
silma,Madar26,eng_to_mar,9.6%,26.6%
silma,Madar26,eng_to_pse,12.0%,29.6%
silma,Madar26,eng_to_sdn,13.5%,31.2%
silma,Madar26,dza_to_msa,10.0%,32.4%
silma,Madar26,egy_to_msa,13.9%,35.4%
silma,Madar26,sau_to_msa,14.0%,35.9%
silma,Madar26,syr_to_msa,12.2%,32.2%
silma,Madar26,mar_to_msa,15.5%,35.8%
silma,Madar26,pse_to_msa,11.9%,32.2%
silma,Madar26,sdn_to_msa,14.4%,38.4%
silma,Madar26,msa_to_dza,9.4%,27.7%
silma,Madar26,msa_to_egy,12.3%,31.3%
silma,Madar26,msa_to_sau,17.0%,37.4%
silma,Madar26,msa_to_syr,12.5%,32.5%
silma,Madar26,msa_to_mar,11.3%,28.5%
silma,Madar26,msa_to_pse,12.8%,32.3%
silma,Madar26,msa_to_sdn,13.1%,33.6%
silma,Flores200,egy_to_eng,30.7%,55.2%
silma,Flores200,sau_to_eng,37.2%,60.2%
silma,Flores200,syr_to_eng,34.2%,58.2%
silma,Flores200,mar_to_eng,27.5%,50.0%
silma,Flores200,pse_to_eng,37.2%,59.5%
silma,Flores200,eng_to_egy,20.1%,38.8%
silma,Flores200,eng_to_sau,27.1%,45.3%
silma,Flores200,eng_to_syr,22.6%,43.3%
silma,Flores200,eng_to_mar,14.0%,34.0%
silma,Flores200,eng_to_pse,24.3%,44.7%
silma,Flores200,egy_to_msa,43.9%,58.5%
silma,Flores200,sau_to_msa,91.1%,93.2%
silma,Flores200,syr_to_msa,33.4%,51.7%
silma,Flores200,mar_to_msa,29.3%,45.9%
silma,Flores200,pse_to_msa,35.4%,52.9%
silma,Flores200,msa_to_egy,40.2%,55.5%
silma,Flores200,msa_to_sau,82.9%,87.7%
silma,Flores200,msa_to_syr,31.1%,50.7%
silma,Flores200,msa_to_mar,22.2%,40.8%
silma,Flores200,msa_to_pse,33.1%,52.3%
acegpt,Madar26,dza_to_eng,16.7%,40.1%
acegpt,Madar26,egy_to_eng,17.8%,43.6%
acegpt,Madar26,sau_to_eng,17.4%,46.3%
acegpt,Madar26,syr_to_eng,16.4%,42.1%
acegpt,Madar26,mar_to_eng,17.2%,42.4%
acegpt,Madar26,pse_to_eng,21.5%,43.6%
acegpt,Madar26,sdn_to_eng,30.5%,52.7%
acegpt,Madar26,eng_to_dza,2.3%,12.3%
