,LABEL,dialect,prompt_type,prompt_location,genre,model,n_shots
0,score,"f=181.4212510525375, p=1.2640966651831024e-253, η2=0.11507381787360325","f=24.470515898726532, p=2.6972824956399432e-33, η2=0.017237450959127876","f=0.7453449750854434, p=0.4745975368394525, η2=0.0001525394085771681","f=40.65341346563542, p=4.2316624009009326e-26, η2=0.01232922873050408","f=191.72722312909374, p=2.1195874292862681e-82, η2=0.037762190798884765","f=80.38866843078104, p=3.63998638208371e-19, η2=0.008159307467067717"
1,macro_score,"f=95.71085515835958, p=1.0288339267504368e-135, η2=0.06419868989736233","f=30.120572328058486, p=1.6838634018814592e-41, η2=0.02113333697142505","f=2.2743776433298364, p=0.10291535704291076, η2=0.0004653196869587059","f=50.08748283726328, p=4.0667126658564924e-32, η2=0.015147023507863757","f=289.6267465558321, p=6.368030608596043e-123, η2=0.05596515037019692","f=151.23450606848365, p=1.674896319771906e-34, η2=0.015240444632845634"
2,prob,"f=245.31384399769902, p=0.0, η2=0.14953996885571083","f=26.99038037152398, p=5.933566712662296e-37, η2=0.018978798652296628","f=0.13883675213325694, p=0.8703718199057736, η2=2.841731793370832e-05","f=138.07570114454305, p=1.2850387248626144e-87, η2=0.04067339614745775","f=8.997395427199214, p=0.0001247597655529639, η2=0.0018382674869957681","f=13.379865516720786, p=0.0002556772723700979, η2=0.0013673322549154164"
3,dialectness,"f=98.15958098534463, p=3.610660497453153e-139, η2=0.06573322220540256","f=29.157266650652993, p=4.2255753372901946e-40, η2=0.020471294050720627","f=1.4470214434418962, p=0.23532042303465794, η2=0.0002960992695628982","f=57.47629695197069, p=7.999978618214142e-37, η2=0.017342733123744625","f=523.208330376837, p=1.369010481758931e-216, η2=0.0967344324038296","f=270.4891583666865, p=5.654941931635185e-60, η2=0.02693447352555519"
4,acc,"f=3.0077457760295228, p=0.0037158595342466874, η2=0.0021512316124958878","f=8.65401504262482, p=1.2521991549327545e-10, η2=0.006164720276909674","f=0.7424587588777661, p=0.4759690974570755, η2=0.0001519488165280931","f=10.181188785688724, p=1.0844910114342957e-06, η2=0.003116517583974925","f=429.1883047213239, p=2.2040317253466508e-179, η2=0.08075512242929145","f=40.1442972841052, p=2.4627883176672436e-10, η2=0.0040912868857028205"
